text	label
"John Waters has given us a genuinely enjoyable film. This certainly isn't without its shocking Waters-esque moments, but it is tamer than his older culty stuff, such as ""Pink Flamingoes"". ""Pecker"" harkens back to John's early mainstream stage in that it reminds the viewer of the same kind of humor that was evident in ""Polyester"". Overall, a really fun comedy with some great moments!"	1
This first two seasons of this comedy series were very strange and they weren't very funny and had a drama element where Bill (the mother) was struggling with all the usual problems in life but that element was a bit depressing and didn't mix well with th comedy elements which is probably why it was dropped. After that it soon became one of the funniest comedy series the BBC have ever made! The chemistry between Bill and Ben's character's were very funny and there was always so many brilliant and memorable sketches in each series. The Christmas specials were hilarious and a real treat for Christmas. <br /><br />The show came to a stop when the main actor Gary Olsen playing Bill passed away which was very sad because he was a brilliant actor in films such as Up 'n' Under and a very funny man RIP<br /><br />This underrated show has sadly disappeared from our television screens and doesn't to be repeated that often - Though it does appear on UKTV Gold once in a while but it should be repeated on BBC one or two to show this brilliant Comedy to a new audience	1
"What an unfortunate mess is ""Shiner."" I wanted to like this over-the-top, anti-film aspirant, and in fact found a number of moments with powerful resonance. Sadly, those moments are few and far between. While I appreciate some of what Calson was attempting, any advantage aspired to by bare bones, no budget cinematography was destroyed with some truly atrocious editing that benefited the movie not at all.<br /><br />While bad acting abounds in low budget (and big budget) cinema, Shiner has some remarkably bad performances that are nearly painful to watch. In particular the ""straight"" couple Linda and Young Guy. These are the two most poorly written characters offering almost nothing to the story. The acting is so abysmal and neither actor seems capable of resisting smirking or cracking up as they drearily drop their lines with an appalling lack of skill. The choppy editing almost lends the feeling that these roles were entirely gratuitous and dropped in to avoid the films being stereotypically cast as an oddball gay film. It would have been better off as such.<br /><br />With all that is going wrong for it, there are several performances that seem to capture what Calson was hoping to get. In particular the story centering on Bob and Tim. These are the two most richly drawn characters and offer the most rewards with genuinely captivating performances by Nicholas T. King (Bob) and David Zelinas (Tim). Tim is a boxer with some serious issues. Remarkably low self esteem is disguised by an almost cartoon like arrogance that he wears like armour plating. Obsessed with Tim, the seemingly harmless yet ultimately creepy Bob, stalks the boxer in classic cat-and-mouse fashion. When the tables are turned and hunter becomes the hunted, the resulting in the film's only genuine emotional catharsis. In a film so artificially hard-edged (that's a compliment) one character MUST have that revelatory break through (or breakdown, as the case proves here) and the final confrontation between Bob and Tim provide Zelinas and King opportunity to display some real acting chops.<br /><br />As played by Scott Stepp and Derris Nile, Tony and Danny seem to be the focus of the movie, and despite some bravado moments of their own (including one truly disturbing scene revealing the sex/violence obsession), but they can't seem to escape a cartoon-like artifice and it's difficult to look at - or beyond their seeming one note symphony and find anything other than the obvious.<br /><br />Ultimately this same raw material could (and should) be used to tell this story in better fashion. Alas, there really isn't much to recommend this yet, the performances by Messrs. King and Zelinas, really do offer something special and a glimpse of what might have been and are ultimately worth seeing."	0
"I'm not entirely sure Rob Schmidt qualifies as a ""Master"" in the genre of horror, since he previously just directed one horror film called ""Wrong Turn"" and that one was actually just was slightly above mediocre, but fact is that he made with ""Right to Die"" one of the best and creepiest episodes of the entire second season of the ""Masters of Horror"" franchise. There was a similar underdog story in season one, when William Malone made on of the best episodes with ""The Fair Haired Child"" even though his other long feature films ""Fear Dot Com"" and ""House on Haunted Hill"" sucked pretty badly.<br /><br />The story of ""Right to Die"" cleverly picks in on the nowadays piping hot social debate of euthanasia, but thankfully also features multiple old-fashioned horror themes like ghostly vengeance, murderous conspiracies, pitch black humor and comic book styled violence. Whilst driving home late one night and discussing the husband's continuous adultery, the Addison couple are involved in a terrible car accident. Cliff walks away from the wreck unharmed but his wife Abby is fully burned and needs to be kept alive artificially. Whilst Cliff and his sleazy attorney (Corbin Bernsen of ""The Dentist"") want to plug the plug on her and sue the car constructor, Abbey's mum sets up a giant media campaign to keep her daughter alive as a vegetable and blame everything on Cliff. Meanwhile Abbey's hateful spirit comes back for revenge and kills someone in Cliff's surrounding whenever she has a near fatal experience with the medical devices. After a few victims, Cliff realizes it might be safer for him to keep his wife alive if he wants to remain alive as well. ""Right to Die"" is a stupendous episode and exactly the type of stuff I always hoped to see from a TV-series concept like ""Masters of Horror"". It's violent and gory with a sick & twisted sense of humor and loads of sleaze sequences. The euthanasia theme and the whole obligatory media circus that surrounds it is processed into the script very well, yet without unnecessarily reverting to political standpoints or morality lessons. The atmosphere is suspenseful and the killing sequences are suitably nasty and unsettling. Actresses Julia Anderson and Robin Sydney both have pretty face and impressively voluptuous racks, which is always a welcome plus, and Corbin Bernsen is finally offered the chance again to depict a mean-spirited and egocentric bastard. Great ""MoH"" episode; definitely one of the highlights of both seasons."	1
i wasn't sure whether to laugh or cry. Porretta was good looking but resembled like a Mexican porn star not an English outlaw. costumes? what costumes? a t-shirt with strips of black leather on it. it was Marion's clothes--or lack of them--that really got me. do the 'fans' of this stinker really believe women dressed like that in medieval england. the Mongols and vikings were inaccurate and stupid, but the episode with an ALIEN was worst of all. Especially as his make up mainly consisted of oatmeal on his face--an old trick.The hedgehog monster was pretty funny, as was climbing up the side of a castle on a ladder of arrows--as if. the US accents grated as did the initial drawling voice over' RAW-bin Hood and LIDDLE John'.the second robin and Marion were really quite minging in looks and what was left of the show went totally down the pan...	0
Saw this movie twice at community screenings and really loved it. I work in the Jane Finch community and feel the film really captured some of the essence and flavour of the community - grit, determination, exuberance, creativity, in your faceness with a dose of desperation. The writing, dialogue and acting is solid and I really found myself drawn into the story of the young woman Raya as she struggles to pursue her goals and not lose herself in the process. Great dance sequences and it is not only the bodies that move smoothly and with electricity but the camera moves with great fluidity and intelligence as well. All the characters are multi dimensional - none wholly good or bad and the women characters are admirably strong. This is a film that has a strong beating heart and celebrates the irrepressible spirit of youth, hip hop and communities like Jane Finch.	1
"A friend once asked me to read a screenplay of his that had been optioned by a movie studio. To say it was one of the most inept and insipid scripts I'd ever read would be a bold understatement. Yet I never told him this. Why? Because in a world where films like ""While She Was Out"" can be green-lighted and attract an Oscar- winning star like Kim Basinger, a screenplay lacking in character, content and common sense is no guarantee that it won't sell.<br /><br />As so many other reviewers have pointed out, ""While She Was Out"" is a dreadfully under-written Woman-in-Peril film that has abused housewife Basinger hunted by four unlikely hoods on Christmas Eve. Every gripe is legitimate, from the weak dialog and bad acting to the jaw-dropping lapses of logic, but Basinger is such an interesting actress and the premise is not without promise. Here are a couple of things that struck me:<br /><br />1) I don't care how much we are supposed to think her husband is a jerk, the house IS a mess with toys. Since when did it become child abuse to make kids pick up after themselves?<br /><br />2) Racially diverse gangs are rare everywhere except Hollywood, where they are usually the only racially balanced groups on screen.<br /><br />3) Sure the film is stupid. But so are the countless ""thrillers"" I've sat through where the women are portrayed as wailing, helpless victims of male sadism. Stupid or not, I found it refreshing to see a woman getting the best of her tormentors.<br /><br />4) I LOVED the ending! <br /><br />5) Though an earlier reviewer coined this phrase, I really DO think this film should be retitled ""The Red Toolbox of Doom."""	0
"........and an extremely bad one at that!!! How long did this train-wreck last?? 14 episodes or something?? I can see why now.<br /><br />I bought the ""Serenity"" episode from Amazon Unboxed. It was my first purchase, so was free. That is the ONLY good thing about the experience (incident??)<br /><br />I won't comment really on the acting, since these were, I guess, fairly new people who hadn't really gotten the job down just right yet. At least I've never seen them before in any type of major show, theater or TV. If I did, then I have easily forgotten them.<br /><br />But the special effects were absolutely horrendous. True, this isn't exactly a multi-million $$ project, but the original Star Trek did better than this & that was THIRTY-FIVE YEARS ago. I especially got a laugh out of the bad guys (reapers or something like that) ship as it chased the hilarious looking Firefly, with smoke coming out of the engines looking something like a gigantic model rocket. I fully expected to eventually see the Wiley Coyote riding on top, while chasing after the Roadrunner. MODERN jet/rocket engines don't even do it that bad.<br /><br />And that wasn't even the worst of it. The wild-west type shoot-outs had me wondering if I was actually watching a sci-fi film or a Gene Autry one.<br /><br />Regardless of the hype, don't waste your time...I did...all 80-something minutes of the disaster called ""Firefly""."	0
I've read a lot of comments about the film and how it's so hard for people to believe that it is a sequel to Henry Fool, and even though it technically is, I think that Fay Grim needs to be looked at as an entirely different film. Just because it is the sequel doesn't mean that it has to be a direct continuation of the first, and I enjoyed that so much about it. The whole point of the film was to change direction from the first, which makes sense because the movie isn't called Henry Fool 2, it's Fay Grim. All that aside, the film, I thought, was so well made and thought out that it actually surprised me. I was expecting to rent another nearly-released-straight-to-video film and have to endure 2 hours of bad editing and an almost hard to follow story-line (aka parker's last direct to video feature the Oh in Ohio) but this was so surprisingly well focused that it almost doesn't seem so, which I absolutely loved. There are so many nuances in the film making and writing that I crave to see in films, but never do. The cinematography was brilliant due to it's simplicity and truly making the film seem 'Grim' throughout - in terms of setting. The writing was so well put together as well, whoever said this movie isn't as witty as Henry Fool needs to watch again and actually listen; I almost can't even begin to explain how actually hilarious it was, and pertinent. And well, Parker Posey, who could complain? The scene in which Fool and Jalal were talking in the dark was so captivating and emotional. And I thought the spy-ness throughout the film was just so hilarious and spot on (in hindsight because i do agree that at times during you kind of felt lost). The main thing that struck me so powerfully about the film, and i believe the point of the film, was Parker's love and naivety about Fool, which was so endearing and turned, yes very quickly, from denial to outright passion. The last five minutes of the film were perfect. Obviously there were things that weren't excellent, but nothing is perfect; some of the acting was poor, and at times I did think that some of the new back story and dialogue about terrorism got a little hard to follow and out of hand, but in the end you got it and didn't even mind that at the time it may have slipped from your comprehension. (This may also have to do with Goldblum's tendency to talk extremely fast) On the whole I would say that it was probably one of the best films I've seen this year; stylistically pleasing, clever and witty writing, performances that were so impressive I now have gained new respect for some of the actors, and a truly touching film, and don't forget, a complete departure from Fool. Which was the point.	1
After having seen the movie the first question arising in my mind was: Is this supposed to be irony or not? After reading a few comments about the character Doc Savage and the comic series, I knew this film was not meant to be ironic. So, the story tells us about an US-American Super-Doc saving a south American republic from evil. Sounds like a typical story. But this one comes in such an unrealistic way that it becomes ridiculous. The mandatory end-fight shows the worst presentation of martial arts I have ever seen. The film might be interesting for low budget movie designers as a bad example.	0
